epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1257.71,0.66471,0.9553,1.27508,0.65566,0.77666,0.82917,0.56715,1.50654,1.40458,3.73287,0.00333272,0.00333272,0.00333272
2,2463.87,0.5793,0.53038,1.17504,0.90829,0.7,0.77942,0.43846,1.90634,1.52658,5.55981,0.00644607,0.00644607,0.00644607
3,3657.52,0.57015,0.5297,1.16424,0.58459,0.8,0.796,0.4975,1.69678,1.7251,5.10682,0.00933942,0.00933942,0.00933942
4,4843.49,0.5349,0.49356,1.13813,0.90256,0.9,0.94525,0.6169,1.47768,0.98076,3.93659,0.00901,0.00901,0.00901
5,6032.14,0.48008,0.43167,1.09697,0.65882,1,0.92867,0.61027,1.51227,1.18511,4.38252,0.00868,0.00868,0.00868
6,7217.95,0.45553,0.39845,1.08116,0.76857,0.8,0.94525,0.47262,1.88732,1.18873,5.57555,0.00835,0.00835,0.00835
7,8407.37,0.43528,0.37362,1.06883,0.71667,0.9,0.82917,0.5771,1.3263,1.80903,3.25609,0.00802,0.00802,0.00802
8,9594.9,0.42083,0.35804,1.05939,0.72225,0.9,0.8955,0.4975,1.82605,1.35836,5.76097,0.00769,0.00769,0.00769
9,10790.3,0.40816,0.34511,1.0519,0.73333,1,0.94525,0.58208,1.57191,1.47624,4.87328,0.00736,0.00736,0.00736
10,11983,0.39997,0.3323,1.04879,0.825,1,0.94525,0.52238,1.83887,1.25606,7.08931,0.00703,0.00703,0.00703
11,13176.2,0.38821,0.32141,1.04336,0.65799,0.9,0.94525,0.54725,1.75312,1.27608,6.08541,0.0067,0.0067,0.0067
12,14371.3,0.37827,0.31123,1.03723,0.68862,0.9,0.8955,0.52735,1.76952,1.48803,6.22265,0.00637,0.00637,0.00637
13,15567.7,0.37451,0.30648,1.03697,0.75333,1,0.995,0.5174,1.9478,1.4725,7.51609,0.00604,0.00604,0.00604
14,16761.2,0.3638,0.29901,1.03054,0.83333,1,0.995,0.56715,1.80029,1.02328,6.60303,0.00571,0.00571,0.00571
15,17955.8,0.35343,0.28841,1.02638,0.8,0.9,0.8955,0.5373,1.77762,1.24822,6.44764,0.00538,0.00538,0.00538
16,19149.9,0.34744,0.28381,1.02473,0.83333,1,0.995,0.597,1.72512,1.22821,6.25976,0.00505,0.00505,0.00505
17,20345.9,0.34239,0.2771,1.02309,0.73333,1,0.995,0.597,1.64503,1.08001,6.04609,0.00472,0.00472,0.00472
18,21537.6,0.33819,0.2724,1.02152,0.76667,1,0.995,0.58705,1.68321,1.07611,6.13157,0.00439,0.00439,0.00439
19,22728.2,0.3306,0.26601,1.0159,0.71667,1,0.995,0.5771,1.70965,1.01321,6.27785,0.00406,0.00406,0.00406
20,23928,0.32574,0.25933,1.0154,0.71667,1,0.995,0.597,1.7017,1.04775,6.27701,0.00373,0.00373,0.00373
21,25153.6,0.33641,0.15146,1.06953,0.71667,1,0.995,0.60695,1.6907,1.0657,6.08066,0.0034,0.0034,0.0034
